commodity,encoder_step,attention_weight
Onions,0,0.056619660928845406
Onions,1,0.03958428871670836
Onions,2,0.04020820146328524
Onions,3,0.04167263910762573
Onions,4,0.03726044841306774
Onions,5,0.03590648729158075
Onions,6,0.03620977216939393
Onions,7,0.033383581983415705
Onions,8,0.04556434336853655
Onions,9,0.04477152345996154
Onions,10,0.044303167954479396
Onions,11,0.04438973262317871
Onions,12,0.035153088551995004
Onions,13,0.032509648045034784
Onions,14,0.036726200708041064
Onions,15,0.04390795695546426
Onions,16,0.051822640442926636
Onions,17,0.052395374832772894
Onions,18,0.05111391609534621
Onions,19,0.04780119466350267
Onions,20,0.04298238113130394
Onions,21,0.029942267623386885
Onions,22,0.022559303030567735
Onions,23,0.022983333144925143
Rice,0,0.03473481545224786
Rice,1,0.03171164393424988
Rice,2,0.03468866772018373
Rice,3,0.04422371573746205
Rice,4,0.05048185004852712
Rice,5,0.05150075471028685
Rice,6,0.0541763516375795
Rice,7,0.048499358748085794
Rice,8,0.04982811803929508
Rice,9,0.03672072794288397
Rice,10,0.03652002499438822
Rice,11,0.027330912230536342
Rice,12,0.02503687459975481
Rice,13,0.02838545641861856
Rice,14,0.0332026447635144
Rice,15,0.04469752833247185
Rice,16,0.05222239391878247
Rice,17,0.0523245538584888
Rice,18,0.05211486341431737
Rice,19,0.05623154519125819
Rice,20,0.03868520536925644
Rice,21,0.02135685714893043
Rice,22,0.01551857586018741
Rice,23,0.0177054128726013
Tomatoes,0,0.04525422760181957
Tomatoes,1,0.038742277026176455
Tomatoes,2,0.03960627002848519
Tomatoes,3,0.043075640127062796
Tomatoes,4,0.04275694001052115
Tomatoes,5,0.04125876339773337
Tomatoes,6,0.043889416174756155
Tomatoes,7,0.0396532037605842
Tomatoes,8,0.04023740929034021
Tomatoes,9,0.04135516910917229
Tomatoes,10,0.04119814597070217
Tomatoes,11,0.04124269485473633
Tomatoes,12,0.02753334186143345
Tomatoes,13,0.0283652247240146
Tomatoes,14,0.03238345392876201
Tomatoes,15,0.03963743518624041
Tomatoes,16,0.04324222683078713
Tomatoes,17,0.04304508250206709
Tomatoes,18,0.038831919597254856
Tomatoes,19,0.048196305624312825
Tomatoes,20,0.042171887184182806
Tomatoes,21,0.0290799454268482
Tomatoes,22,0.023448222327149576
Tomatoes,23,0.02328482773154974
